"","Country","Cause","Year","Val"
"1","Canada","Ischemic heart disease",2018,50219.3275899887
"2","Canada","Ischemic heart disease",2019,52553.9848089218
"3","Canada","Ischemic heart disease",2020,55287.8777656555
"4","Canada","Alzheimer's disease and other dementias",2018,26020.4930841476
"5","Canada","Alzheimer's disease and other dementias",2019,26848.3175240606
"6","Canada","Alzheimer's disease and other dementias",2020,27697.6676053554
"7","Canada","Tracheal, bronchus, and lung cancer",2018,21711.4176932871
"8","Canada","Tracheal, bronchus, and lung cancer",2019,21950.7099520006
"9","Canada","Tracheal, bronchus, and lung cancer",2020,22190.0022107141
"10","Italy","Ischemic heart disease",2018,98771.5792980194
"11","Italy","Ischemic heart disease",2019,100358.918662071
"12","Italy","Ischemic heart disease",2020,102254.795365334
"13","Italy","Alzheimer's disease and other dementias",2018,74323.8579772669
"14","Italy","Alzheimer's disease and other dementias",2019,75794.1469739424
"15","Italy","Alzheimer's disease and other dementias",2020,77264.4359706175
"16","Italy","Stroke",2018,61161.4933433533
"17","Italy","Stroke",2019,62478.2271742821
"18","Italy","Stroke",2020,64002.9022636414
"19","United States","Ischemic heart disease",2018,546097.017669678
"20","United States","Ischemic heart disease",2019,566830.133575439
"21","United States","Ischemic heart disease",2020,591717.015731812
"22","United States","Alzheimer's disease and other dementias",2018,258038.467390802
"23","United States","Alzheimer's disease and other dementias",2019,262908.064559806
"24","United States","Alzheimer's disease and other dementias",2020,267777.661728811
"25","United States","Tracheal, bronchus, and lung cancer",2018,190198.124883652
"26","United States","Tracheal, bronchus, and lung cancer",2019,194428.804878235
"27","United States","Tracheal, bronchus, and lung cancer",2020,199286.25078392
"28","China","Stroke",2018,2104846.580984
"29","China","Stroke",2019,2137927.05291474
"30","China","Stroke",2020,2171212.2806325
"31","China","Ischemic heart disease",2018,1825606.78988647
"32","China","Ischemic heart disease",2019,1868277.44726562
"33","China","Ischemic heart disease",2020,1906159.11947632
"34","China","Chronic obstructive pulmonary disease",2018,989958.63381958
"35","China","Chronic obstructive pulmonary disease",2019,1031532.60733032
"36","China","Chronic obstructive pulmonary disease",2020,1083034.16448975
"37","Spain","Ischemic heart disease",2018,51555.7451063395
"38","Spain","Ischemic heart disease",2019,50713.4112732559
"39","Spain","Ischemic heart disease",2020,49841.1017201692
"40","Spain","Alzheimer's disease and other dementias",2018,52945.4890952315
"41","Spain","Alzheimer's disease and other dementias",2019,54045.9233296164
"42","Spain","Alzheimer's disease and other dementias",2020,55146.3575640018
"43","Spain","Stroke",2018,31711.1952288151
"44","Spain","Stroke",2019,31959.0957567692
"45","Spain","Stroke",2020,32299.2102315426
"46","United Kingdom","Ischemic heart disease",2018,90680.246181488
"47","United Kingdom","Ischemic heart disease",2019,95094.0769424438
"48","United Kingdom","Ischemic heart disease",2020,100674.631412506
"49","United Kingdom","Alzheimer's disease and other dementias",2018,66465.3601488173
"50","United Kingdom","Alzheimer's disease and other dementias",2019,68314.0761954337
"51","United Kingdom","Alzheimer's disease and other dementias",2020,70214.4390060753
"52","United Kingdom","Stroke",2018,46827.1916303635
"53","United Kingdom","Stroke",2019,47866.8274173737
"54","United Kingdom","Stroke",2020,49226.2743530273
